full_name,age,league,position,Current Club,minutes_played_overall,nationality,appearances_overall,goals_overall,goals_home,goals_away,assists_overall,clean_sheets_overall,yellow_cards_overall,red_cards_overall
Alvaro Morata,27,Premier League,Forward,Chelsea,943,Spain,16,5,3,2,0,9,3,0
Ruben Loftus-Cheek,23,Premier League,Midfielder,Chelsea,983,England,24,6,3,3,2,12,0,0
Eden Hazard,28,Premier League,Midfielder,Chelsea,2926,Belgium,37,16,11,5,15,15,2,0
Victor Moses,28,Premier League,Midfielder,Chelsea,26,Nigeria,2,0,0,0,0,1,0,0
Wilfredo Daniel Caballero,38,Premier League,Goalkeeper,Chelsea,180,Argentina,2,0,0,0,0,2,0,0
Olivier Giroud,33,Premier League,Forward,Chelsea,832,France,27,2,1,1,4,12,1,0
Davide Zappacosta,27,Premier League,Defender,Chelsea,125,Italy,4,0,0,0,0,3,0,0
Andreas Christensen,23,Premier League,Defender,Chelsea,615,Denmark,8,0,0,0,0,3,1,0
Ben Foster,36,Premier League,Goalkeeper,Watford,3420,England,38,0,0,0,0,7,1,0
José Holebas,35,Premier League,Defender,Watford,2394,Greece,28,3,2,1,6,5,13,1
Craig Cathcart,30,Premier League,Defender,Watford,3099,Northern Ireland,36,3,1,2,0,6,2,0
Christian Kabasele,28,Premier League,Defender,Watford,1587,Belgium,21,0,0,0,0,4,4,1
Daryl Janmaat,30,Premier League,Defender,Watford,1521,Netherlands,18,0,0,0,2,3,3,0
Etienne Capoue,31,Premier League,Midfielder,Watford,2947,France,33,1,0,1,3,7,15,1
Roberto Maximiliano Pereyra,28,Premier League,Forward,Watford,2825,Argentina,33,6,5,1,1,5,3,0
Abdoulaye Doucouré,26,Premier League,Midfielder,Watford,3062,France,35,5,3,2,6,5,7,0
Will Hughes,24,Premier League,Midfielder,Watford,2436,England,32,2,1,1,4,5,5,0
Troy Deeney,31,Premier League,Forward,Watford,2548,England,32,9,3,6,5,5,5,1
Andre Gray,28,Premier League,Forward,Watford,1358,England,29,7,5,2,2,5,2,0
Isaac Ajayi Success,23,Premier League,Forward,Watford,1037,Nigeria,30,1,1,0,1,5,4,0
Ken Sema,26,Premier League,Midfielder,Watford,755,Sweden,17,1,0,1,2,6,1,0
Francisco Femenía Far,28,Premier League,Midfielder,Watford,2045,Spain,29,1,1,0,1,5,1,0
Heurelho da Silva Gomes,38,Premier League,Goalkeeper,Watford,0,Brazil,0,0,0,0,0,0,0,0
Sebastian Prödl,32,Premier League,Defender,Watford,13,Austria,1,0,0,0,0,1,0,0
Adrian Mariappa,33,Premier League,Defender,Watford,1921,Jamaica,26,0,0,0,0,6,3,0
Adam Masina,25,Premier League,Defender,Watford,1003,Italy,14,0,0,0,1,2,5,0
Mathew Ryan,27,Premier League,Goalkeeper,Brighton & Hove Albion,3060,Australia,34,0,0,0,0,6,2,0
